E_coli,Total_Coliforms,Enterococci,Turbidity,Residual_Chlorine,Nitrate,Disease_Risk
1103,959,71,8.42,0.09,11.78,Dysentery
12,4765,0,17.24,0.18,18.24,HepatitisA
518,6924,6,20.64,0.07,14.02,Cholera
272,597,4,18.17,0.08,10.87,Diarrhea
36,3921,33,7.34,0.2,24.27,Typhoid
176,938,9,17.28,0.35,9.61,Diarrhea
90,329,12,8.92,0.79,16.15,Typhoid
188,2137,14,14.76,0.15,3.13,Cholera
42,2802,49,9.6,0.22,25.44,Typhoid
387,922,0,13.45,0.46,3.68,Diarrhea
58,487,4,5.01,0.38,9.92,Diarrhea
446,375,4,3.52,0.45,6.55,Diarrhea
100,1161,13,9.42,0.04,4.18,Diarrhea
61,2624,18,55.01,0.36,0.28,HepatitisA
1617,881,51,3.7,0.11,3.59,Dysentery
1695,1426,82,13.12,0.21,16.52,Dysentery
80,592,6,5.9,0.33,4.57,Diarrhea
91,4036,38,3.3,0.78,19.56,Typhoid
928,3165,10,21.61,0.05,1.6,Cholera
339,421,90,6.79,0.11,16.63,Dysentery
1649,5971,19,29.55,0.1,13.84,Cholera
362,879,14,7.82,0.24,2.44,Diarrhea
71,852,10,8.26,0.38,17.82,Typhoid
145,479,45,2.99,0.2,29.81,Typhoid
299,1736,5,7.8,0.07,0.14,Diarrhea
1191,2175,3,6.5,0.14,9.63,Cholera
1464,7587,18,12.35,0.15,11.86,Cholera
55,3520,35,9.87,0.33,13.73,Typhoid
1964,646,13,28.37,0.11,18.73,Cholera
98,1573,13,7.98,0.26,15.88,Typhoid
1892,657,31,14.48,0.09,4.5,Dysentery
1158,250,73,10.21,0.03,14.28,Dysentery
1325,704,46,7.25,0.15,8.45,Dysentery
148,1159,4,15.03,0.08,2.1,Diarrhea
191,3048,21,96.48,0.27,6.31,HepatitisA
107,1366,10,2.24,0.42,21.31,Typhoid
307,515,7,11.85,0.3,3.66,Diarrhea
1798,1074,83,10.36,0.27,15.83,Dysentery
90,2136,18,1.35,0.22,10.93,Typhoid
67,1213,35,7.55,0.7,11.96,Typhoid
313,1116,7,8.62,0.07,6.28,Diarrhea
479,515,9,9.06,0.02,4.12,Diarrhea
1057,8594,7,5.48,0.05,7.51,Cholera
246,164,3,16.21,0.03,0.14,Diarrhea
330,715,8,15.98,0.39,9.79,Diarrhea
79,3046,43,2.26,0.46,19.1,Typhoid
215,9500,18,24.58,0.13,4.53,Cholera
367,356,4,5.11,0.08,2.21,Diarrhea
20,3715,35,8.83,0.69,26.35,Typhoid
164,1323,24,80.18,0.06,8.64,HepatitisA
183,2782,0,61.03,0.13,9.83,HepatitisA
235,1074,11,41.33,0.01,7.38,Cholera
139,1681,6,7.85,0.21,12.92,Diarrhea
1738,3479,16,40.92,0.08,0.78,Cholera
92,2451,49,3.12,0.5,27.75,Typhoid
174,1799,9,37.6,0.24,4.79,HepatitisA
170,3827,9,68.45,0.47,7.45,HepatitisA
1037,811,58,7.81,0.26,18.81,Dysentery
13,4876,0,99.09,0.15,6.89,HepatitisA
38,4059,14,38.98,0.11,8.68,HepatitisA
142,580,10,80.77,0.46,18.87,HepatitisA
885,618,28,10.45,0.1,0.8,Dysentery
147,4354,29,98.35,0.45,3.82,HepatitisA
110,490,43,9.98,0.5,22.31,Typhoid
789,854,2,39.2,0.15,14.94,Cholera
412,785,9,7.94,0.15,13.66,Diarrhea
1671,1285,90,7.27,0.27,10.48,Dysentery
1733,748,21,9.04,0.19,4.69,Dysentery
1375,1389,19,11.06,0.16,8.61,Cholera
129,1107,33,8.68,0.34,27.63,Typhoid
86,2228,37,5.78,0.38,24.88,Typhoid
1635,1548,37,13.85,0.07,8.53,Dysentery
577,5831,12,39.34,0.07,16.24,Cholera
80,411,11,7.56,0.28,16.74,Typhoid
345,1341,48,11.91,0.07,12.87,Dysentery
1279,4619,2,28.84,0.12,0.92,Cholera
73,4652,12,27.93,0.27,11.47,HepatitisA
461,1029,3,19.76,0.1,13.35,Diarrhea
164,1017,9,12.92,0.14,1.98,Diarrhea
48,4368,23,83.65,0.13,18.73,HepatitisA
749,1930,24,6.89,0.25,11.34,Dysentery
252,1515,4,6.15,0.1,5.79,Diarrhea
111,3601,26,5.27,0.71,19.22,Typhoid
44,3882,18,32.45,0.38,19.74,HepatitisA
264,404,3,18.64,0.01,11.14,Diarrhea
434,720,23,2.42,0.26,12.82,Dysentery
182,544,1,17.62,0.17,6.64,Diarrhea
177,4911,15,63.27,0.03,2.46,HepatitisA
970,2559,5,40.95,0.13,11.18,Cholera
106,4495,43,6.12,0.26,17.34,Typhoid
247,1309,10,16.27,0.34,2.11,Diarrhea
448,1937,14,17.28,0.23,0.61,Diarrhea
228,729,72,8.23,0.1,17.95,Dysentery
89,473,41,3.95,0.45,27.33,Typhoid
54,1319,38,7.39,0.5,23.57,Typhoid
1683,9000,0,18.09,0.1,17.12,Cholera
101,2309,16,4.24,0.53,19.62,Typhoid
146,1142,46,4.64,0.73,20.24,Typhoid
21,3937,1,82.43,0.09,8.42,HepatitisA
727,1157,58,7.93,0.06,16.43,Dysentery
370,7217,14,27.05,0.03,13.53,Cholera
391,168,11,7.5,0.19,1.98,Diarrhea
106,2143,41,2.7,0.35,25.97,Typhoid
111,2185,47,2.67,0.32,27.54,Typhoid
245,167,14,15.38,0.31,3.99,Diarrhea
106,1681,69,5.08,0.01,7.09,Dysentery
98,656,33,6.56,0.53,27.21,Typhoid
122,1141,28,9.12,0.73,29.63,Typhoid
43,4543,26,37.78,0.07,1.64,HepatitisA
72,4297,27,54.41,0.24,1.39,HepatitisA
107,3752,44,4.35,0.29,11.58,Typhoid
25,4607,42,3.06,0.29,28.88,Typhoid
100,1152,10,12.19,0.2,3.51,Diarrhea
117,1239,26,18.47,0.2,13.63,HepatitisA
108,1078,0,8.3,0.2,9.98,Diarrhea
42,2352,42,9.92,0.72,15.85,Typhoid
1380,9331,10,7.64,0.17,18.68,Cholera
50,1849,6,34.78,0.39,0.11,HepatitisA
113,3731,10,9.75,0.63,29.11,Typhoid
113,1065,18,4.84,0.26,25.47,Typhoid
1490,6245,15,8.11,0.17,0.29,Cholera
766,974,78,10.44,0.29,16.52,Dysentery
39,1974,4,74.21,0.2,9.6,HepatitisA
268,223,9,13.39,0.24,12.97,Diarrhea
1665,1395,41,10.89,0.07,6.57,Dysentery
404,356,13,16.89,0.44,9.08,Diarrhea
156,221,12,16.77,0.23,1.64,Diarrhea
158,519,6,4.62,0.31,0.75,Diarrhea
74,4119,2,72.88,0.02,7.1,HepatitisA
1672,5769,3,20.94,0.12,8.89,Cholera
275,949,6,16.61,0.16,3.08,Diarrhea
352,7222,15,43.15,0.03,16.49,Cholera
489,8584,10,48.28,0.08,19.33,Cholera
0,3845,1,78.14,0.25,1.01,HepatitisA
1070,1741,84,13.76,0.24,19.07,Dysentery
1498,1552,4,44.66,0.11,2.36,Cholera
80,3759,36,5.81,0.72,25.03,Typhoid
26,525,41,4.88,0.64,25.27,Typhoid
225,1240,10,8.56,0.0,4.69,Diarrhea
162,1136,12,8.59,0.22,2.41,Diarrhea
387,1848,12,7.45,0.25,6.08,Diarrhea
190,909,39,8.76,0.2,15.06,Dysentery
1176,783,72,3.08,0.28,2.1,Dysentery
173,816,89,4.17,0.12,2.23,Dysentery
1983,1848,5,16.04,0.1,7.93,Cholera
993,1101,21,7.83,0.01,8.82,Dysentery
100,1875,6,11.59,0.2,11.72,Diarrhea
80,2058,43,4.99,0.67,11.89,Typhoid
195,2500,17,27.35,0.06,4.63,HepatitisA
1874,4381,9,19.53,0.09,6.5,Cholera
325,419,1,10.61,0.2,7.25,Diarrhea
1061,3339,5,22.99,0.1,14.35,Cholera
147,1691,47,2.78,0.2,20.54,Typhoid
104,1615,23,5.27,0.59,27.24,Typhoid
1065,9424,2,5.48,0.13,1.86,Cholera
58,1392,47,5.46,0.6,18.36,Typhoid
122,1088,6,3.57,0.07,5.34,Diarrhea
82,4854,15,58.78,0.09,7.49,HepatitisA
1660,8916,15,39.65,0.09,0.57,Cholera
123,1299,39,2.44,0.67,24.19,Typhoid
308,507,82,10.47,0.1,10.04,Dysentery
91,2361,38,8.41,0.45,10.2,Typhoid
1192,1432,36,5.99,0.1,11.5,Dysentery
1292,822,95,7.87,0.27,10.03,Dysentery
789,1075,76,9.88,0.28,15.87,Dysentery
1752,269,42,12.88,0.01,0.21,Dysentery
407,809,11,17.41,0.14,8.37,Diarrhea
1940,731,20,4.36,0.14,18.48,Dysentery
158,1098,16,84.76,0.47,3.34,HepatitisA
1977,5792,6,20.48,0.17,4.47,Cholera
69,3641,9,22.4,0.22,12.94,HepatitisA
872,1839,53,7.24,0.23,6.86,Dysentery
369,1127,12,12.4,0.4,10.58,Diarrhea
525,4324,6,14.34,0.04,15.05,Cholera
825,1470,72,12.1,0.05,17.47,Dysentery
63,405,5,43.51,0.2,17.68,HepatitisA
264,1514,7,18.73,0.1,13.64,Diarrhea
895,5363,1,29.2,0.04,4.14,Cholera
63,2255,14,4.03,0.44,16.73,Typhoid
75,4359,26,14.26,0.26,18.49,HepatitisA
1811,1324,62,9.03,0.12,14.45,Dysentery
854,463,79,2.46,0.1,12.4,Dysentery
445,1033,7,5.07,0.45,4.25,Diarrhea
67,1175,29,5.12,0.44,26.68,Typhoid
557,1940,62,2.47,0.14,17.72,Dysentery
179,1577,21,74.58,0.48,12.98,HepatitisA
101,394,47,5.92,0.25,12.79,Typhoid
128,4308,2,27.0,0.36,18.32,HepatitisA
61,2084,5,28.71,0.33,12.18,HepatitisA
1540,250,99,9.47,0.14,5.22,Dysentery
1548,1759,72,9.75,0.28,11.96,Dysentery
157,3692,21,44.33,0.17,14.67,HepatitisA
736,862,95,8.69,0.04,16.99,Dysentery
1421,452,63,9.0,0.15,4.23,Dysentery
1015,7870,9,32.79,0.0,1.62,Cholera
83,780,41,9.77,0.36,19.86,Typhoid
1630,1797,44,3.59,0.13,16.04,Dysentery
54,4987,30,9.37,0.46,14.61,Typhoid
11,4927,28,12.97,0.14,17.45,HepatitisA
45,2447,29,48.72,0.2,1.4,HepatitisA
35,748,22,95.95,0.29,2.03,HepatitisA
60,548,38,2.06,0.25,12.2,Typhoid
16,3841,0,62.65,0.23,3.3,HepatitisA
85,2581,25,46.76,0.09,11.15,HepatitisA
30,1028,26,4.67,0.64,15.17,Typhoid
454,280,8,5.5,0.15,0.75,Diarrhea
150,1084,7,17.52,0.22,12.39,Diarrhea
139,3098,45,8.82,0.72,27.33,Typhoid
132,1946,35,1.55,0.47,19.46,Typhoid
1887,7354,0,34.15,0.05,3.9,Cholera
1222,1149,91,9.12,0.15,2.4,Dysentery
404,1718,53,8.65,0.27,17.29,Dysentery
127,4897,0,89.21,0.35,18.96,HepatitisA
764,4442,5,25.61,0.1,18.29,Cholera
1032,1058,61,5.17,0.21,4.47,Dysentery
27,1640,25,20.18,0.24,17.36,HepatitisA
499,1359,57,13.72,0.25,8.28,Dysentery
211,512,9,7.99,0.48,7.29,Diarrhea
135,2154,34,5.18,0.76,17.0,Typhoid
1924,700,49,12.38,0.03,2.85,Dysentery
1074,8627,18,43.18,0.17,5.27,Cholera
51,2966,10,3.0,0.51,17.02,Typhoid
1430,2108,15,19.45,0.08,10.33,Cholera
444,1151,12,19.17,0.37,4.33,Diarrhea
23,303,14,8.02,0.28,17.81,Typhoid
319,932,14,12.25,0.34,2.61,Diarrhea
1120,546,62,3.3,0.17,9.62,Dysentery
580,1630,98,4.44,0.18,15.05,Dysentery
95,4045,19,6.03,0.31,16.41,Typhoid
1674,801,54,8.07,0.05,3.18,Dysentery
130,3715,4,52.61,0.29,6.7,HepatitisA
1687,9785,7,47.82,0.18,7.51,Cholera
1179,930,27,7.55,0.13,2.73,Dysentery
88,4168,24,3.3,0.29,18.86,Typhoid
46,266,22,1.11,0.77,29.55,Typhoid
50,2640,12,87.04,0.2,15.24,HepatitisA
56,3169,30,9.95,0.59,24.19,Typhoid
37,1440,8,18.51,0.41,19.15,HepatitisA
119,637,11,18.62,0.02,2.51,Cholera
139,1633,11,74.49,0.33,13.25,HepatitisA
1274,2218,2,24.22,0.03,11.18,Cholera
192,1550,11,19.7,0.37,2.29,Diarrhea
258,397,4,18.32,0.28,13.27,Diarrhea
792,690,24,7.21,0.25,11.55,Dysentery
377,482,73,4.17,0.05,8.91,Dysentery
233,1387,10,16.5,0.19,1.52,Diarrhea
140,2216,37,6.99,0.31,25.19,Typhoid
161,1287,2,87.39,0.2,3.15,HepatitisA
1050,1270,2,22.68,0.07,17.62,Cholera
1559,1309,19,10.36,0.0,9.54,Cholera
570,1615,83,10.55,0.19,13.34,Dysentery
801,4893,13,33.4,0.12,0.13,Cholera
1322,7752,19,13.7,0.1,14.72,Cholera
69,832,7,15.24,0.12,14.07,Diarrhea
428,6128,17,29.27,0.01,19.36,Cholera
147,4104,4,72.69,0.31,3.71,HepatitisA
193,371,13,86.79,0.17,9.95,HepatitisA
41,1957,25,2.08,0.65,20.12,Typhoid
895,1069,69,3.87,0.05,7.92,Dysentery
154,3893,23,18.99,0.32,15.43,HepatitisA
219,164,13,9.69,0.03,0.9,Diarrhea
1037,1829,85,10.55,0.16,6.56,Dysentery
119,4808,21,34.03,0.19,9.26,HepatitisA
486,1495,11,12.91,0.32,14.32,Diarrhea
365,1922,16,35.61,0.05,3.05,Cholera
44,1800,1,60.53,0.27,16.35,HepatitisA
1055,5693,14,14.86,0.14,2.05,Cholera
1520,8398,0,46.01,0.07,7.42,Cholera
126,4620,32,4.13,0.2,18.2,Typhoid
24,3271,14,8.5,0.5,14.36,Typhoid
3,2106,27,50.04,0.47,18.66,HepatitisA
171,679,6,10.7,0.21,10.32,Diarrhea
122,1444,5,8.45,0.35,7.3,Diarrhea
476,289,0,6.1,0.37,0.57,Diarrhea
196,2970,23,36.66,0.42,17.92,HepatitisA
1320,5646,3,21.13,0.16,16.24,Cholera
575,2074,10,38.65,0.08,0.31,Cholera
610,4849,19,17.94,0.04,8.12,Cholera
829,8019,19,37.38,0.11,0.97,Cholera
510,4916,10,31.81,0.11,10.01,Cholera
112,1890,15,36.29,0.4,4.93,HepatitisA
186,1220,9,10.54,0.05,10.56,Diarrhea
1668,353,88,12.07,0.14,10.75,Dysentery
17,4151,49,8.35,0.43,22.85,Typhoid
922,838,88,13.65,0.11,9.39,Dysentery
58,333,38,1.01,0.47,15.68,Typhoid
104,2553,39,6.11,0.73,10.55,Typhoid
798,1962,47,4.25,0.11,1.88,Dysentery
135,1493,21,22.07,0.38,18.79,HepatitisA
103,3039,39,2.75,0.61,24.35,Typhoid
239,472,12,15.35,0.42,3.87,Diarrhea
852,1420,62,11.22,0.14,0.82,Dysentery
359,855,24,2.42,0.13,16.34,Dysentery
54,4629,47,1.98,0.71,14.96,Typhoid
129,2329,4,13.79,0.2,15.9,HepatitisA
827,1300,90,10.94,0.09,7.2,Dysentery
70,1711,28,7.36,0.76,14.91,Typhoid
1703,8895,10,37.92,0.14,16.97,Cholera
22,2641,21,13.8,0.25,8.25,HepatitisA
161,493,1,17.5,0.33,0.7,Diarrhea
1506,1432,34,12.4,0.13,19.73,Dysentery
99,4307,27,5.46,0.44,20.48,Typhoid
39,4866,26,2.1,0.45,28.11,Typhoid
432,635,2,16.81,0.0,2.9,Cholera
103,3027,0,50.05,0.24,13.42,HepatitisA
842,339,74,10.24,0.13,5.29,Dysentery
369,312,5,19.51,0.0,11.44,Diarrhea
1768,7716,15,12.47,0.16,0.75,Cholera
35,1336,38,3.42,0.3,24.43,Typhoid
345,834,2,16.48,0.35,3.34,Diarrhea
11,2859,0,91.44,0.11,15.06,HepatitisA
1929,5932,12,31.32,0.06,11.29,Cholera
78,1252,3,8.73,0.04,14.43,Diarrhea
1050,255,48,6.93,0.08,6.47,Dysentery
90,3491,39,1.72,0.38,21.0,Typhoid
111,3984,13,4.2,0.23,13.37,Typhoid
973,1326,2,26.17,0.11,6.01,Cholera
86,3686,20,34.13,0.1,9.97,HepatitisA
141,2180,3,53.27,0.18,12.19,HepatitisA
161,3752,25,98.24,0.26,15.03,HepatitisA
196,4509,15,63.28,0.04,16.42,HepatitisA
380,1395,95,9.06,0.0,12.9,Dysentery
384,9381,9,18.57,0.09,14.15,Cholera
1970,6560,0,46.23,0.16,6.59,Cholera
68,2401,20,6.04,0.33,11.15,Typhoid
124,4611,12,95.76,0.2,2.89,HepatitisA
127,1779,27,7.99,0.52,28.9,Typhoid
187,3697,7,76.35,0.41,5.04,HepatitisA
50,3921,10,4.91,0.27,23.36,Typhoid
409,1582,2,11.51,0.26,12.29,Diarrhea
727,1096,79,3.97,0.27,10.24,Dysentery
96,3840,32,8.77,0.49,26.14,Typhoid
103,3402,27,65.62,0.41,10.37,HepatitisA
30,3071,29,4.12,0.3,16.04,Typhoid
52,1106,3,19.77,0.37,10.37,Diarrhea
100,1485,32,2.95,0.4,19.65,Typhoid
10,2545,44,3.03,0.67,12.4,Typhoid
10,3024,10,68.53,0.38,4.42,HepatitisA
128,1912,6,19.52,0.38,0.68,Diarrhea
113,508,12,17.91,0.16,12.69,Diarrhea
140,1610,44,2.41,0.77,17.47,Typhoid
490,1759,9,6.77,0.42,7.37,Diarrhea
551,840,29,14.33,0.17,3.33,Dysentery
9,4060,9,51.37,0.03,7.45,HepatitisA
101,4696,21,2.0,0.77,21.63,Typhoid
87,3044,18,3.71,0.65,23.69,Typhoid
254,265,12,15.66,0.11,14.0,Diarrhea
71,2832,15,98.09,0.4,5.88,HepatitisA
157,403,13,5.61,0.13,10.39,Diarrhea
96,119,9,17.59,0.25,3.06,Diarrhea
126,1205,23,42.24,0.49,13.18,HepatitisA
138,1985,16,3.21,0.72,23.84,Typhoid
48,1053,19,19.85,0.22,4.15,HepatitisA
136,2082,10,7.79,0.25,12.41,Typhoid
123,4830,36,6.95,0.61,26.5,Typhoid
437,1607,0,4.17,0.2,10.31,Diarrhea
35,1019,43,3.37,0.77,28.91,Typhoid
890,1107,31,3.81,0.19,18.88,Dysentery
421,9420,6,21.01,0.02,1.28,Cholera
174,3872,8,84.09,0.34,14.72,HepatitisA
237,3017,1,24.64,0.04,3.01,Cholera
26,2154,37,6.31,0.51,21.68,Typhoid
89,536,34,1.36,0.72,11.42,Typhoid
252,437,7,18.28,0.36,14.95,Diarrhea
125,1213,22,7.98,0.35,25.87,Typhoid
1862,921,93,3.61,0.12,17.48,Dysentery
480,985,5,13.4,0.15,4.11,Diarrhea
93,3854,42,7.63,0.58,20.02,Typhoid
65,724,18,71.99,0.1,10.72,HepatitisA
684,4093,19,13.61,0.03,1.82,Cholera
148,1627,12,16.4,0.28,11.12,Diarrhea
1208,4867,7,35.91,0.18,13.07,Cholera
854,6572,16,5.19,0.02,2.28,Cholera
111,794,13,17.96,0.11,0.59,Diarrhea
849,4871,7,11.0,0.04,13.23,Cholera
330,779,3,6.87,0.33,13.71,Diarrhea
114,4252,28,7.79,0.35,26.45,Typhoid
158,175,91,11.22,0.05,6.01,Dysentery
1181,1310,67,6.39,0.27,14.75,Dysentery
28,2649,21,24.57,0.34,12.09,HepatitisA
1856,1065,75,4.13,0.24,16.56,Dysentery
440,3336,12,22.03,0.02,5.35,Cholera
42,201,29,59.27,0.24,4.24,HepatitisA
443,7458,13,5.52,0.16,0.68,Cholera
645,981,22,3.49,0.14,12.76,Dysentery
292,1739,3,14.77,0.19,5.11,Diarrhea
1237,6270,17,31.98,0.07,18.2,Cholera
401,603,8,6.61,0.01,6.34,Diarrhea
53,3325,5,85.42,0.31,18.06,HepatitisA
1772,8550,2,38.56,0.03,3.03,Cholera
148,1769,14,17.31,0.01,2.24,Diarrhea
44,2989,22,4.67,0.43,16.68,Typhoid
142,2154,11,44.46,0.3,16.32,HepatitisA
460,9936,3,18.93,0.16,12.88,Cholera
1612,985,8,21.37,0.16,11.96,Cholera
397,699,11,9.64,0.14,11.49,Diarrhea
1328,1019,30,4.7,0.1,15.81,Dysentery
1002,1588,3,45.8,0.19,19.03,Cholera
1043,1248,87,11.55,0.24,13.26,Dysentery
1970,4341,4,10.06,0.04,10.54,Cholera
12,3178,15,8.67,0.44,21.21,Typhoid
303,6921,1,26.89,0.18,2.32,Cholera
99,3076,23,61.46,0.39,16.6,HepatitisA
96,4040,47,2.42,0.5,18.5,Typhoid
1459,7042,11,19.75,0.19,2.8,Cholera
363,1499,0,4.49,0.13,0.64,Diarrhea
142,2432,27,7.05,0.32,22.0,Typhoid
1600,3003,9,30.7,0.18,16.75,Cholera
214,390,6,18.59,0.12,1.55,Diarrhea
1961,9541,6,8.59,0.07,1.26,Cholera
295,1986,75,11.67,0.03,19.44,Dysentery
1122,4074,15,36.12,0.17,0.67,Cholera
124,465,39,9.45,0.21,20.34,Typhoid
116,2076,36,2.96,0.31,27.23,Typhoid
1529,8333,14,37.49,0.1,19.39,Cholera
546,1754,80,14.78,0.01,4.12,Dysentery
113,167,67,10.78,0.04,2.14,Dysentery
450,1299,0,4.37,0.07,4.35,Diarrhea
1538,1488,37,10.75,0.14,5.82,Dysentery
1593,1818,79,3.28,0.01,6.04,Dysentery
116,4470,10,3.75,0.71,20.54,Typhoid
633,7751,19,46.0,0.05,15.37,Cholera
108,1657,2,36.74,0.34,17.15,HepatitisA
1638,1038,31,8.78,0.17,13.8,Dysentery
239,3532,14,42.87,0.12,1.18,Cholera
90,4309,12,53.82,0.45,5.54,HepatitisA
218,110,54,14.63,0.07,12.29,Dysentery
568,9230,5,6.66,0.16,4.68,Cholera
39,3644,31,6.49,0.26,12.01,Typhoid
184,665,28,11.09,0.23,4.33,Dysentery
39,211,14,6.18,0.24,27.14,Typhoid
188,3186,5,33.45,0.48,14.11,HepatitisA
159,1295,0,5.49,0.36,14.3,Diarrhea
127,3876,23,87.64,0.43,10.11,HepatitisA
87,121,3,9.54,0.07,7.06,Diarrhea
156,2615,23,40.97,0.04,17.65,HepatitisA
578,1370,32,12.52,0.15,0.88,Dysentery
78,4674,10,1.55,0.77,28.17,Typhoid
693,5383,10,33.99,0.12,4.45,Cholera
153,1467,21,49.95,0.16,17.55,HepatitisA
1885,1916,59,14.25,0.05,6.77,Dysentery
1977,1922,55,7.91,0.28,2.93,Dysentery
180,1114,27,53.48,0.11,16.55,HepatitisA
245,1506,5,18.8,0.02,4.53,Diarrhea
97,464,29,99.2,0.18,0.55,HepatitisA
458,877,84,11.2,0.1,8.07,Dysentery
756,7364,3,6.32,0.13,4.27,Cholera
195,1051,60,10.79,0.1,10.11,Dysentery
56,587,21,2.26,0.44,10.77,Typhoid
1848,1691,70,10.27,0.26,4.4,Dysentery
180,2493,3,80.83,0.27,14.61,HepatitisA
75,406,14,9.49,0.38,11.15,Diarrhea
141,3502,44,5.47,0.55,10.74,Typhoid
941,3180,1,40.78,0.12,5.54,Cholera
448,622,14,3.75,0.28,4.74,Diarrhea
443,5781,6,15.74,0.01,2.27,Cholera
77,1199,30,5.45,0.7,11.83,Typhoid
42,3014,24,71.76,0.23,17.44,HepatitisA
189,1345,17,62.36,0.13,5.32,HepatitisA
357,983,6,17.48,0.15,0.23,Diarrhea
337,1247,3,11.59,0.09,14.42,Diarrhea
325,9836,3,38.26,0.1,12.35,Cholera
180,2908,1,17.16,0.08,2.23,HepatitisA
142,3270,2,47.41,0.43,8.0,HepatitisA
325,1804,12,8.99,0.33,9.05,Diarrhea
91,2906,28,77.75,0.29,11.86,HepatitisA
1588,1346,19,40.94,0.13,5.42,Cholera
1216,662,1,47.26,0.04,2.99,Cholera
1080,9632,11,38.37,0.11,1.89,Cholera
1187,8877,5,32.83,0.03,13.57,Cholera
162,835,17,35.41,0.26,2.45,HepatitisA
1389,3727,2,32.48,0.18,8.82,Cholera
348,882,0,9.34,0.16,10.98,Diarrhea
33,4970,12,24.25,0.21,2.03,HepatitisA
550,1137,45,7.07,0.17,17.56,Dysentery
1852,3790,15,48.58,0.02,9.2,Cholera
633,1170,4,48.68,0.1,2.31,Cholera
1886,1715,50,5.41,0.02,0.59,Dysentery
758,3156,1,5.45,0.03,11.3,Cholera
101,602,20,75.57,0.09,5.06,HepatitisA
1245,1513,85,10.07,0.17,10.8,Dysentery
106,1566,10,3.15,0.47,29.28,Typhoid
410,1566,9,8.81,0.29,14.77,Diarrhea
222,717,13,12.71,0.31,7.54,Diarrhea
1407,8206,11,15.71,0.17,16.53,Cholera
470,1429,36,10.54,0.23,6.91,Dysentery
167,3578,20,48.86,0.43,8.3,HepatitisA
970,2475,6,7.06,0.05,2.49,Cholera
109,3672,18,6.37,0.3,20.67,Typhoid
1038,1256,80,5.15,0.28,15.84,Dysentery
114,3506,14,9.73,0.43,16.62,Typhoid
81,3285,0,38.85,0.4,19.27,HepatitisA
91,3228,29,66.75,0.45,16.44,HepatitisA
72,653,2,18.81,0.27,11.53,Diarrhea
65,3708,35,2.36,0.21,23.0,Typhoid
199,1614,13,14.44,0.12,7.46,Diarrhea
133,509,4,16.22,0.41,3.92,Diarrhea
148,3515,32,2.98,0.3,22.57,Typhoid
1749,1319,57,4.29,0.09,19.18,Dysentery
1635,6310,3,10.5,0.0,16.73,Cholera
181,4532,17,21.89,0.09,7.05,Cholera
660,824,87,12.72,0.18,2.57,Dysentery
77,2580,17,6.39,0.45,11.67,Typhoid
232,202,11,12.05,0.37,7.82,Diarrhea
394,1408,4,6.52,0.35,12.53,Diarrhea
121,1336,11,10.59,0.4,8.61,Diarrhea
267,1503,91,8.51,0.02,11.06,Dysentery
199,986,16,56.86,0.1,14.62,HepatitisA
1071,907,1,37.77,0.08,18.26,Cholera
99,1754,5,39.78,0.06,5.19,HepatitisA
11,1365,5,25.29,0.42,2.42,HepatitisA
644,9335,16,46.87,0.02,12.16,Cholera
12,1704,21,4.98,0.53,16.33,Typhoid
544,1412,64,2.55,0.25,3.12,Dysentery
245,1829,84,13.68,0.26,12.9,Dysentery
159,4803,9,59.83,0.42,9.9,HepatitisA
1584,1808,20,13.95,0.06,2.84,Dysentery
486,1254,6,40.75,0.01,10.31,Cholera
110,3903,45,8.65,0.3,28.92,Typhoid
1310,1572,4,13.64,0.09,10.3,Cholera
1595,1345,54,2.34,0.18,2.6,Dysentery
880,1267,92,2.84,0.14,8.78,Dysentery
177,3043,15,56.17,0.03,8.43,HepatitisA
48,2540,20,1.43,0.39,19.63,Typhoid
146,1540,3,7.48,0.09,10.94,Diarrhea
1340,523,56,7.33,0.03,17.93,Dysentery
895,264,91,3.5,0.16,14.14,Dysentery
1010,8051,11,36.53,0.16,16.73,Cholera
117,1467,9,9.01,0.18,7.64,Diarrhea
1924,172,91,5.04,0.21,5.14,Dysentery
1556,1649,18,41.85,0.1,15.18,Cholera
143,753,34,3.38,0.51,17.5,Typhoid
673,5157,15,12.68,0.05,7.93,Cholera
104,2405,41,4.82,0.63,11.68,Typhoid
391,2466,3,38.29,0.06,9.01,Cholera
373,1543,2,11.22,0.21,14.46,Diarrhea
81,1540,37,3.87,0.78,28.48,Typhoid
963,1308,63,13.8,0.15,3.28,Dysentery
198,4497,6,44.29,0.36,4.36,HepatitisA
1242,9282,17,11.23,0.05,4.79,Cholera
69,1763,8,8.93,0.33,11.24,Diarrhea
1270,8313,16,19.22,0.07,9.4,Cholera
1842,1088,43,10.67,0.15,18.41,Dysentery
61,1225,16,47.18,0.29,2.63,HepatitisA
1950,2609,4,36.57,0.15,12.52,Cholera
344,1081,14,4.38,0.33,12.04,Diarrhea
235,363,60,2.71,0.14,13.75,Dysentery
83,4869,13,94.31,0.37,18.18,HepatitisA
1276,3487,16,28.48,0.0,6.2,Cholera
1436,1118,58,2.12,0.28,13.12,Dysentery
577,1056,53,4.95,0.02,19.33,Dysentery
152,1451,5,13.92,0.28,10.86,Diarrhea
155,1305,11,4.25,0.09,7.25,Diarrhea
33,3109,14,9.19,0.68,13.53,Typhoid
